2007 Lower Weather Meterological Hourly Data (Summary),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Reference Dataset with the following format:,,,,,,,,,,,,,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,,,,,,,,,,,,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Column.Variable-units| Description,,,,,,,,,,,,,
,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,,,,,,,
,2. Precipitation-mm| Cumulative Shielded Rain gage Depth [mm],,,,,,,,,,,,,
,"3. AirTemperature-C| Air Temperature at 2m above ground, Averaged [C]",,,,,,,,,,,,,
,"4. SolarRadiation-Watts/m2| Solar Radiation, Averaged [Watts/m2]",,,,,,,,,,,,,
,"5. Net Radiation-Watts/m2| Net Radiation, Averaged [Watts/m2]",,,,,,,,,,,,,
,"6. Relative Humidity-%| Relative Humidity at 2m above ground , Averaged [%]",,,,,,,,,,,,,
,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,,,,,,,
,"8. Wind Speed-m/s| Wind Speed at 2m above ground, Averaged [m/s]",,,,,,,,,,,,,
,"9.Snow Depth-cm| Filtered depth of snow above ground, Acoustic Sensor [cm]",,,,,,,,,,,,,
,Note: -6999 denotes missing data,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm,,,,,,
01/01/2007 00:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2007 01:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2007 02:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2007 03:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2007 04:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2007 05:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2007 06:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2007 07:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2007 08:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2007 09:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2007 10:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2007 11:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2007 12:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2007 13:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2007 14:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2007 15:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2007 16:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2007 17:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2007 18:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2007 19:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2007 20:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2007 21:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2007 22:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/01/2007 23:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2007 00:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2007 01:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2007 02:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2007 03:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2007 04:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2007 05:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2007 06:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2007 07:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2007 08:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2007 09:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2007 10:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2007 11:00,0.00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2007 12:00,2.18,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2007 13:00,2.18,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2007 14:00,2.18,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2007 15:00,2.18,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2007 16:00,2.18,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2007 17:00,2.18,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2007 18:00,2.18,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2007 19:00,2.18,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2007 20:00,2.18,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2007 21:00,2.18,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2007 22:00,2.18,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/02/2007 23:00,2.18,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/03/2007 00:00,2.18,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/03/2007 01:00,2.18,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
01/03/2007 02:00,2.18,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,,,,
