1999 Treeline Meterological Hourly Data (Summary),,,,,,,,
,,,,,,,,
Reference Dataset with the following format:,,,,,,,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,,,,,,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,
,,,,,,,,
,,,,,,,,
,Column.Variable-units| Description,,,,,,,
,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,
,2. Precipitation-mm| Cumulative Shielded Rain gage depth [mm],,,,,,,
,"3. AirTemperature-C| Air Temperature at 2m above ground, Averaged [C]",,,,,,,
,"4. SolarRadiation-Watts/m2| Solar Radiation, Averaged [Watts/m2]",,,,,,,
,"5. Net Radiation-Watts/m2| Net Radiation, Averaged [Watts/m2]",,,,,,,
,"6. Relative Humidity-%| Relative Humidity at 2m above ground , Averaged [%]",,,,,,,
,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,
,"8. Wind Speed-m/s| Wind Speed at 2m above ground, Averaged [m/s]",,,,,,,
,"9.Snow Depth-cm| Filtered depth of snow above ground, Acoustic Sensor [cm]",,,,,,,
,Note: -6999 denotes missing data,,,,,,,
,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm
01/01/99 00:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/01/99 01:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/01/99 02:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/01/99 03:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/01/99 04:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/01/99 05:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/01/99 06:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/01/99 07:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/01/99 08:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/01/99 09:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/01/99 10:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/01/99 11:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/01/99 12:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/01/99 13:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/01/99 14:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/01/99 15:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/01/99 16:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/01/99 17:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/01/99 18:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/01/99 19:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/01/99 20:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/01/99 21:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/01/99 22:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/01/99 23:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/02/99 00:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/02/99 01:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/02/99 02:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/02/99 03:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/02/99 04:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/02/99 05:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/02/99 06:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/02/99 07:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/02/99 08:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/02/99 09:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/02/99 10:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/02/99 11:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/02/99 12:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/02/99 13:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/02/99 14:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/02/99 15:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/02/99 16:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/02/99 17:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/02/99 18:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/02/99 19:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/02/99 20:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/02/99 21:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/02/99 22:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/02/99 23:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/03/99 00:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/03/99 01:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/03/99 02:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/03/99 03:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/03/99 04:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/03/99 05:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/03/99 06:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/03/99 07:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/03/99 08:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/03/99 09:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/03/99 10:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/03/99 11:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/03/99 12:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/03/99 13:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
01/03/99 14:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
