2010 Shingle Creek Ridge Meterological Hourly Data (Summary),,,,,,,,,,,
,,,,,,,,,,,
Reference Dataset with the following format:,,,,,,,,,,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,,,,,,,,,
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Column.Variable-units| Description,,,,,,,,,,
,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],,,,,,,,,,
,2. Precipitation-mm| Cumulative Shielded Rain gage Depth [mm],,,,,,,,,,
,"3. AirTemperature-C| Air Temperature at 2m above ground, Averaged [C]",,,,,,,,,,
,"4. SolarRadiation-Watts/m2| Solar Radiation, Averaged [Watts/m2]",,,,,,,,,,
,"5. Net Radiation-Watts/m2| Net Radiation, Averaged [Watts/m2]",,,,,,,,,,
,"6. Relative Humidity-%| Relative Humidity at 2m above ground , Averaged [%]",,,,,,,,,,
,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],,,,,,,,,,
,"8. Wind Speed-m/s| Wind Speed at 2m above ground, Averaged [m/s]",,,,,,,,,,
,"9.Snow Depth-cm| Filtered depth of snow above ground, Acoustic Sensor [cm]",,,,,,,,,,
,Note: -6999 denotes missing data,,,,,,,,,,
,,,,,,,,,,,
DateTime,Precipitation-mm,AirTemperature-C,SolarRadiation-Watts/m2,NetRadiation-Watts/m2,RelativeHumidity-%,WindDirection-Degree,WindSpeed-m/s,SnowDepth-cm,,,
01/03/2010 04:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/03/2010 05:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/03/2010 06:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/03/2010 07:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/03/2010 08:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/03/2010 09:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/03/2010 10:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/03/2010 11:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/03/2010 12:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/03/2010 13:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/03/2010 14:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/03/2010 15:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/03/2010 16:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/03/2010 17:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/03/2010 18:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/03/2010 19:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/03/2010 20:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/03/2010 21:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/03/2010 22:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/03/2010 23:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/04/2010 00:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/04/2010 01:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/04/2010 02:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/04/2010 03:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/04/2010 04:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/04/2010 05:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/04/2010 06:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/04/2010 07:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/04/2010 08:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/04/2010 09:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/04/2010 10:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/04/2010 11:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/04/2010 12:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/04/2010 13:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/04/2010 14:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/04/2010 15:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/04/2010 16:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/04/2010 17:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/04/2010 18:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/04/2010 19:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/04/2010 20:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/04/2010 21:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/04/2010 22:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/04/2010 23:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/05/2010 00:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/05/2010 01:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/05/2010 02:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/05/2010 03:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/05/2010 04:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/05/2010 05:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/05/2010 06:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/05/2010 07:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/05/2010 08:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/05/2010 09:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/05/2010 10:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/05/2010 11:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/05/2010 12:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/05/2010 13:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/05/2010 14:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/05/2010 15:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/05/2010 16:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/05/2010 17:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/05/2010 18:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/05/2010 19:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/05/2010 20:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/05/2010 21:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/05/2010 22:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/05/2010 23:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/06/2010 00:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/06/2010 01:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/06/2010 02:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/06/2010 03:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/06/2010 04:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/06/2010 05:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/06/2010 06:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/06/2010 07:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/06/2010 08:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/06/2010 09:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/06/2010 10:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/06/2010 11:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/06/2010 12:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/06/2010 13:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/06/2010 14:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/06/2010 15:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/06/2010 16:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/06/2010 17:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/06/2010 18:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/06/2010 19:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/06/2010 20:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/06/2010 21:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/06/2010 22:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/06/2010 23:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/07/2010 00:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/07/2010 01:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/07/2010 02:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/07/2010 03:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/07/2010 04:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/07/2010 05:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/07/2010 06:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/07/2010 07:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/07/2010 08:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/07/2010 09:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/07/2010 10:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/07/2010 11:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/07/2010 12:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/07/2010 13:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/07/2010 14:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/07/2010 15:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/07/2010 16:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/07/2010 17:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/07/2010 18:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/07/2010 19:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/07/2010 20:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/07/2010 21:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/07/2010 22:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/07/2010 23:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/08/2010 00:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/08/2010 01:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/08/2010 02:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/08/2010 03:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/08/2010 04:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/08/2010 05:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/08/2010 06:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/08/2010 07:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/08/2010 08:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/08/2010 09:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/08/2010 10:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/08/2010 11:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/08/2010 12:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/08/2010 13:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/08/2010 14:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/08/2010 15:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/08/2010 16:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/08/2010 17:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/08/2010 18:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/08/2010 19:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/08/2010 20:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/08/2010 21:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/08/2010 22:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/08/2010 23:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/09/2010 00:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/09/2010 01:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/09/2010 02:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/09/2010 03:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/09/2010 04:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/09/2010 05:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/09/2010 06:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/09/2010 07:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/09/2010 08:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/09/2010 09:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/09/2010 10:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/09/2010 11:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/09/2010 12:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/09/2010 13:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/09/2010 14:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/09/2010 15:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/09/2010 16:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/09/2010 17:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/09/2010 18:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/09/2010 19:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/09/2010 20:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/09/2010 21:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/09/2010 22:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/09/2010 23:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/10/2010 00:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/10/2010 01:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/10/2010 02:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/10/2010 03:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/10/2010 04:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/10/2010 05:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/10/2010 06:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/10/2010 07:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/10/2010 08:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/10/2010 09:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/10/2010 10:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/10/2010 11:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/10/2010 12:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/10/2010 13:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/10/2010 14:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/10/2010 15:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/10/2010 16:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/10/2010 17:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/10/2010 18:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/10/2010 19:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/10/2010 20:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/10/2010 21:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/10/2010 22:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/10/2010 23:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/11/2010 00:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/11/2010 01:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/11/2010 02:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/11/2010 03:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/11/2010 04:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/11/2010 05:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/11/2010 06:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/11/2010 07:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/11/2010 08:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/11/2010 09:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/11/2010 10:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/11/2010 11:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/11/2010 12:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/11/2010 13:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/11/2010 14:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/11/2010 15:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/11/2010 16:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/11/2010 17:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/11/2010 18:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/11/2010 19:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/11/2010 20:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/11/2010 21:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/11/2010 22:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/11/2010 23:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/12/2010 00:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/12/2010 01:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/12/2010 02:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/12/2010 03:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/12/2010 04:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
01/12/2010 05:00,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,,,
